TransactionID,CustomerID,DateKey,Amount,TransactionType,Channel,AccountID,LastUpdated
3000,CUST0602,20221028,397.42,Credit,Branch,ACC0083,2025-03-26 13:25:26.466413
3001,CUST0602,20220813,286.29,Credit,Branch,ACC0548,2025-01-26 16:10:26.466429
3002,CUST0603,20220519,1229.54,Debit,Online,ACC0873,2025-03-24 14:26:26.466444
3003,CUST0603,20220811,3353.28,Debit,ATM,ACC0213,2025-04-04 23:55:26.466460
3004,CUST0603,20220226,4276.69,Debit,ATM,ACC0660,2025-01-19 10:48:26.466476
3005,CUST0603,20221013,2852.35,Credit,Online,ACC0152,2025-03-07 21:07:26.466492
3006,CUST0603,20220926,4662.8,Debit,Online,ACC0066,2025-01-22 16:46:26.466507
3007,CUST0603,20220913,3575.89,Debit,Online,ACC0234,2025-04-12 02:30:26.466523
3008,CUST0604,20221101,3993.6,Credit,ATM,ACC0453,2025-02-25 02:59:26.466539
3009,CUST0604,20220920,4197.96,Credit,Online,ACC0997,2025-01-16 23:19:26.466555
3010,CUST0604,20220223,2976.05,Credit,Online,ACC0525,2025-02-14 07:01:26.466571
3011,CUST0604,20220912,1879.43,Debit,Online,ACC0131,2025-01-18 19:47:26.466587
3012,CUST0604,20220409,4393.09,Credit,ATM,ACC0911,2025-02-24 07:24:26.466603
3013,CUST0604,20220812,1215.68,Credit,Online,ACC0312,2025-03-27 21:14:26.466618
3014,CUST0604,20220720,1800.7,Debit,Online,ACC0068,2025-01-25 06:04:26.466634
3015,CUST0605,20220423,3374.07,Debit,ATM,ACC0930,2025-01-21 10:32:26.466650
3016,CUST0605,20220620,194.9,Debit,Branch,ACC0343,2025-03-02 19:45:26.466666
3017,CUST0605,20220821,4310.96,Credit,Branch,ACC0224,2025-03-18 23:19:26.466686
3018,CUST0605,20221030,2781.44,Debit,Online,ACC0931,2025-02-14 11:29:26.466704
3019,CUST0605,20220312,3477.1,Credit,ATM,ACC0219,2025-01-29 21:05:26.466719
3020,CUST0605,20220228,2306.05,Credit,Online,ACC0039,2025-02-04 03:14:26.466736
3021,CUST0606,20220425,2578.62,Credit,ATM,ACC0123,2025-01-24 08:25:26.466751
3022,CUST0606,20221217,2258.09,Credit,ATM,ACC0999,2025-03-22 07:14:26.466767
3023,CUST0606,20220902,3368.35,Debit,Online,ACC0175,2025-01-27 12:20:26.466783
3024,CUST0606,20221201,4149.61,Credit,ATM,ACC0402,2025-03-12 00:52:26.466799
3025,CUST0607,20220217,810.94,Credit,ATM,ACC0188,2025-03-30 07:21:26.466814
3026,CUST0607,20220112,2779.99,Credit,Online,ACC0800,2025-01-20 10:42:26.466830
3027,CUST0607,20220109,843.75,Credit,ATM,ACC0174,2025-04-08 16:00:26.466846
3028,CUST0607,20221229,3050.26,Credit,Branch,ACC0652,2025-02-28 13:49:26.466862
3029,CUST0607,20221128,2584.66,Debit,Branch,ACC0664,2025-03-07 08:01:26.466877
3030,CUST0607,20220718,2820.16,Credit,Online,ACC0263,2025-02-26 06:56:26.466893
3031,CUST0607,20220911,1299.88,Debit,Online,ACC0084,2025-02-03 12:03:26.466909
3032,CUST0608,20220430,4155.18,Debit,ATM,ACC0630,2025-03-01 14:35:26.466925
3033,CUST0608,20220419,1548.42,Credit,Online,ACC0217,2025-03-03 06:09:26.466940
3034,CUST0608,20220914,3507.81,Credit,Branch,ACC0846,2025-04-12 14:56:26.466964
3035,CUST0608,20220623,1235.68,Credit,ATM,ACC0867,2025-04-09 04:25:26.466987
3036,CUST0608,20220614,1759.85,Credit,Branch,ACC0001,2025-01-22 12:55:26.467004
3037,CUST0608,20220104,2211.79,Credit,ATM,ACC0210,2025-03-28 07:41:26.467020
3038,CUST0608,20220924,292.68,Debit,Branch,ACC0292,2025-01-30 07:38:26.467035
3039,CUST0608,20221208,1428.88,Credit,Online,ACC0252,2025-03-15 17:06:26.467051
3040,CUST0609,20220225,4763.2,Credit,Branch,ACC0357,2025-02-22 12:11:26.467067
3041,CUST0609,20220103,4723.92,Credit,ATM,ACC0338,2025-01-26 17:20:26.467082
3042,CUST0609,20220830,1393.06,Debit,Branch,ACC0390,2025-03-05 23:51:26.467098
3043,CUST0609,20220929,2372.96,Credit,ATM,ACC0399,2025-04-06 18:08:26.467121
3044,CUST0610,20220316,2946.69,Credit,ATM,ACC0830,2025-04-04 21:27:26.467137
3045,CUST0610,20220616,1583.72,Debit,Online,ACC0476,2025-01-17 14:57:26.467153
3046,CUST0610,20221108,4203.29,Debit,ATM,ACC0521,2025-03-07 19:53:26.467169
3047,CUST0610,20220227,2703.19,Credit,Online,ACC0335,2025-01-16 06:04:26.467185
3048,CUST0610,20220313,1639.22,Debit,Branch,ACC0441,2025-02-17 17:25:26.467201
3049,CUST0610,20220202,2639.82,Credit,Online,ACC0134,2025-02-09 19:36:26.467217
3050,CUST0610,20220530,923.04,Credit,Branch,ACC0212,2025-01-14 22:04:26.467241
3051,CUST0611,20220202,4549.98,Debit,ATM,ACC0778,2025-03-19 02:58:26.467264
3052,CUST0611,20220731,2674.14,Credit,Online,ACC0951,2025-02-10 18:59:26.467280
3053,CUST0611,20220311,4932.26,Credit,Branch,ACC0391,2025-03-12 03:25:26.467296
3054,CUST0612,20220612,364.23,Credit,Online,ACC0001,2025-02-01 09:03:26.467312
3055,CUST0612,20220118,2729.18,Debit,Online,ACC0017,2025-01-20 19:29:26.467328
3056,CUST0612,20220616,4578.22,Debit,Online,ACC0801,2025-01-17 07:23:26.467344
3057,CUST0612,20220925,4508.08,Credit,Branch,ACC0882,2025-01-19 03:48:26.467360
3058,CUST0612,20220310,242.21,Credit,Online,ACC0364,2025-03-30 23:50:26.467375
3059,CUST0612,20220325,140.74,Credit,Branch,ACC0500,2025-04-06 13:54:26.467391
3060,CUST0612,20220129,1438.37,Credit,Online,ACC0306,2025-04-13 12:57:26.467407
3061,CUST0613,20221203,2228.9,Debit,Branch,ACC0257,2025-03-28 22:32:26.467423
3062,CUST0613,20220411,2865.25,Debit,ATM,ACC0940,2025-03-23 05:51:26.467438
3063,CUST0614,20220407,167.72,Credit,ATM,ACC0077,2025-03-01 07:00:26.467454
3064,CUST0614,20220511,2115.33,Debit,Online,ACC0112,2025-03-11 09:47:26.467470
3065,CUST0614,20220526,1189.23,Credit,Branch,ACC0719,2025-03-14 21:30:26.467485
3066,CUST0614,20220815,1806.8,Credit,ATM,ACC0493,2025-02-13 21:16:26.467501
3067,CUST0614,20220406,3657.17,Credit,Branch,ACC0301,2025-03-04 15:57:26.467517
3068,CUST0614,20220802,2208.03,Credit,Branch,ACC0454,2025-04-05 01:55:26.467538
3069,CUST0615,20220909,4541.86,Credit,ATM,ACC0068,2025-01-21 14:16:26.467555
